Costi Indiretti;Costi Diretti;CostiDirettiValue;isEconomico;Percentuale;Anno;Contributo Competenza;Valore;doc_name;Costi Indiretti Somma;Costi Diretti Somma
{'Oneri diversi': '4381.36', 'Servizi': '27686.97', 'Oneri finanziari': '1294.49', 'Ammortamenti': '2873.49', 'God beni terzi': '8103.62', 'Personale': '4191.69', 'Materie Prime': '180.19'};{'Oneri diversi': '0.00', 'Servizi': '0.00', 'Oneri finanziari': '0.00', 'Ammortamenti': '0.00', 'Personale': '13852.00', 'God beni terzi': '0.00', 'Materie Prime': '0.00'};['conti/8.04.004/lineeConto/8.04.004line_005', 'conti/8.04.004/lineeConto/8.04.004line_012', 'conti/8.04.004/lineeConto/8.04.004line_020', 'conti/8.06.004/lineeConto/8.06.004line_004', 'conti/8.06.004/lineeConto/8.06.004line_007', 'conti/8.06.004/lineeConto/8.06.004line_015', 'conti/8.06.004/lineeConto/8.06.004line_026', 'conti/8.06.004/lineeConto/8.06.004line_038'];True;18.67;2022;54360;119150;HitachiMGMT;47417.32000000001;13852.0
{'Oneri diversi': '333.96', 'Servizi': '2110.41', 'Oneri finanziari': '95.78', 'Ammortamenti': '219.03', 'Personale': '319.51', 'God beni terzi': '617.69', 'Materie Prime': '13.73'};{'Oneri diversi': '0.00', 'Servizi': '4645.87', 'Oneri finanziari': '0.00', 'Ammortamenti': '0.00', 'Personale': '6665.73', 'God beni terzi': '0.00', 'Materie Prime': '0.00'};['conti/8.17.000/lineeConto/8.17.000line_000', 'conti/8.17.000/lineeConto/8.17.000line_001', 'conti/8.17.000/lineeConto/8.17.000line_008', 'conti/8.17.000/lineeConto/8.17.000line_024', 'conti/8.17.000/lineeConto/8.17.000line_079', 'conti/8.17.000/lineeConto/8.17.000line_118', 'conti/8.06.004/lineeConto/8.06.004line_096', 'conti/8.06.004/lineeConto/8.06.004line_097'];False;0.65;2022;10000;10000;HitachiR&S;3614.33;11311.599999999999
{'Oneri diversi': '0.00', 'Servizi': '0.00', 'Oneri finanziari': '0.00', 'Ammortamenti': '0.00', 'God beni terzi': '0.00', 'Personale': '0.00', 'Materie Prime': '0.00'};{'Oneri diversi': '0.00', 'Servizi': '740.95', 'Oneri finanziari': '0.00', 'Ammortamenti': '0.00', 'God beni terzi': '0.00', 'Personale': '50800.20', 'Materie Prime': '0.00'};['conti/8.17.000/lineeConto/8.17.000line_114', 'conti/8.04.004/lineeConto/8.04.004line_021', 'conti/8.04.004/lineeConto/8.04.004line_028', 'conti/8.04.004/lineeConto/8.04.004line_037', 'conti/8.04.004/lineeConto/8.04.004line_045', 'conti/8.04.004/lineeConto/8.04.004line_052', 'conti/8.04.004/lineeConto/8.04.004line_077', 'conti/8.04.004/lineeConto/8.04.004line_091', 'conti/8.04.004/lineeConto/8.04.004line_096', 'conti/8.06.004/lineeConto/8.06.004line_031', 'conti/8.06.004/lineeConto/8.06.004line_041', 'conti/8.06.004/lineeConto/8.06.004line_050', 'conti/8.06.004/lineeConto/8.06.004line_060', 'conti/8.06.004/lineeConto/8.06.004line_072', 'conti/8.06.004/lineeConto/8.06.004line_082', 'conti/8.06.004/lineeConto/8.06.004line_092', 'conti/8.06.004/lineeConto/8.06.004line_104', 'conti/8.06.004/lineeConto/8.06.004line_120', 'conti/8.06.004/lineeConto/8.06.004line_126'];False;0.00;2022;-106514.45;336250;INCISIVE;0.0;51541.149999999994
{'Oneri diversi': '4634.81', 'Servizi': '29288.57', 'Oneri finanziari': '1369.37', 'Ammortamenti': '3039.71', 'God beni terzi': '8572.39', 'Personale': '4434.17', 'Materie Prime': '190.61'};{'Oneri diversi': '360.38', 'Servizi': '44.44', 'Oneri finanziari': '0.00', 'Ammortamenti': '0.00', 'Personale': '0.00', 'God beni terzi': '0.00', 'Materie Prime': '0.00'};['conti/8.18.000/lineeConto/8.18.000line_002', 'conti/8.14.005/lineeConto/8.14.005line_012', 'conti/8.38.008/lineeConto/8.38.008line_001'];True;19.75;2022;57504;115008;INGV;50160.259999999995;404.82
{'Oneri diversi': '786.10', 'Servizi': '4967.59', 'Oneri finanziari': '225.45', 'Ammortamenti': '515.56', 'God beni terzi': '1453.95', 'Personale': '752.07', 'Materie Prime': '32.33'};{'Oneri diversi': '4312.50', 'Servizi': '5303.77', 'Oneri finanziari': '0.00', 'Ammortamenti': '0.00', 'God beni terzi': '0.00', 'Personale': '7656.29', 'Materie Prime': '0.00'};['conti/8.06.004/lineeConto/8.06.004line_070', 'conti/8.06.004/lineeConto/8.06.004line_080', 'conti/8.07.002/lineeConto/8.07.002line_006', 'conti/8.20.006/lineeConto/8.20.006line_000', 'conti/8.09.005/lineeConto/8.09.005line_017', 'conti/8.17.000/lineeConto/8.17.000line_007'];False;1.53;2022;23377.23;113321.37;INNOVARE;8507.6;17272.56
{'Oneri diversi': '673.07', 'Servizi': '4253.29', 'Oneri finanziari': '193.03', 'Ammortamenti': '441.43', 'God beni terzi': '1244.88', 'Personale': '643.93', 'Materie Prime': '27.68'};{'Oneri diversi': '0.00', 'Servizi': '0.00', 'Oneri finanziari': '0.00', 'Ammortamenti': '0.00', 'God beni terzi': '0.00', 'Personale': '0.00', 'Materie Prime': '0.00'};[];False;1.31;2022;20000;60000;JABER;7284.280000000001;0.0
{'Oneri diversi': '303.14', 'Servizi': '1915.61', 'Oneri finanziari': '86.94', 'Ammortamenti': '198.81', 'Personale': '290.01', 'God beni terzi': '560.67', 'Materie Prime': '12.47'};{'Oneri diversi': '0.00', 'Servizi': '0.00', 'Oneri finanziari': '0.00', 'Ammortamenti': '0.00', 'God beni terzi': '0.00', 'Personale': '0.00', 'Materie Prime': '0.00'};[];False;0.59;2022;9000;26000;Kineton;3280.7099999999996;0.0
{'Oneri diversi': '303.14', 'Servizi': '1915.61', 'Oneri finanziari': '86.94', 'Ammortamenti': '198.81', 'Personale': '290.01', 'God beni terzi': '560.67', 'Materie Prime': '12.47'};{'Oneri diversi': '0.00', 'Servizi': '0.00', 'Oneri finanziari': '0.00', 'Ammortamenti': '0.00', 'Personale': '0.00', 'God beni terzi': '0.00', 'Materie Prime': '0.00'};[];False;0.59;2022;9000;9000;MACROPHARM;3280.7099999999996;0.0
{'Oneri diversi': '71.93', 'Servizi': '454.55', 'Oneri finanziari': '20.63', 'Ammortamenti': '47.18', 'Personale': '68.82', 'God beni terzi': '133.04', 'Materie Prime': '2.96'};{'Oneri diversi': '0.00', 'Servizi': '0.00', 'Oneri finanziari': '0.00', 'Ammortamenti': '0.00', 'God beni terzi': '0.00', 'Personale': '4323.85', 'Materie Prime': '0.00'};['conti/8.06.004/lineeConto/8.06.004line_101'];False;0.14;2022;2161.92;852882.58;MAIA;778.48;4323.85
{'Oneri diversi': '534.34', 'Servizi': '3376.66', 'Oneri finanziari': '153.25', 'Ammortamenti': '350.45', 'Personale': '511.21', 'God beni terzi': '988.30', 'Materie Prime': '21.98'};{'Oneri diversi': '6117.09', 'Servizi': '0.00', 'Oneri finanziari': '7.19', 'Ammortamenti': '0.00', 'Personale': '49613.92', 'God beni terzi': '0.00', 'Materie Prime': '4229.00'};['conti/8.04.004/lineeConto/8.04.004line_001', 'conti/8.04.004/lineeConto/8.04.004line_016', 'conti/8.04.004/lineeConto/8.04.004line_024', 'conti/8.04.004/lineeConto/8.04.004line_033', 'conti/8.04.004/lineeConto/8.04.004line_041', 'conti/8.04.004/lineeConto/8.04.004line_048', 'conti/8.04.004/lineeConto/8.04.004line_056', 'conti/8.04.004/lineeConto/8.04.004line_065', 'conti/8.04.004/lineeConto/8.04.004line_074', 'conti/8.04.004/lineeConto/8.04.004line_084', 'conti/8.04.004/lineeConto/8.04.004line_092', 'conti/8.06.004/lineeConto/8.06.004line_002', 'conti/8.06.004/lineeConto/8.06.004line_014', 'conti/8.06.004/lineeConto/8.06.004line_023', 'conti/8.06.004/lineeConto/8.06.004line_035', 'conti/8.06.004/lineeConto/8.06.004line_045', 'conti/8.06.004/lineeConto/8.06.004line_055', 'conti/8.06.004/lineeConto/8.06.004line_066', 'conti/8.06.004/lineeConto/8.06.004line_076', 'conti/8.06.004/lineeConto/8.06.004line_088', 'conti/8.06.004/lineeConto/8.06.004line_099', 'conti/8.06.004/lineeConto/8.06.004line_111', 'conti/8.06.004/lineeConto/8.06.004line_121', 'conti/8.04.003/lineeConto/8.04.003line_011', 'conti/8.14.010/lineeConto/8.14.010line_004', 'conti/8.36.002/lineeConto/8.36.002line_000', 'conti/8.11.011/lineeConto/8.11.011line_037', 'conti/8.11.011/lineeConto/8.11.011line_041', 'conti/8.11.011/lineeConto/8.11.011line_046'];False;1.04;2022;15861.81;425000;MARINE HAZARD;5782.94;59960.009999999995
